scientific_label,canonical_label,batdetect2_order
Barbastellus barbastellus,Bbar,0
Eptesicus nilssonii,Enil,
Eptesicus serotinus,Eser,1
Miniopterus schreibersii,Mschreib,
Myotis alcathoe,Malc,2
Myotis bechsteinii,Mbech,3
Myotis brandtii,Mbrandt,4
Myotis dasycneme,Mdas,
Myotis daubentonii,Mdaub,5
Myotis emarginatus,Mem,
Myotis myotis,Mmyo,
Myotis mystacinus,Mmys,6
Myotis nattereri,Mnat,7
Nyctalus leisleri,Nleis,8
Nyctalus noctula,Nnoc,9
Pipistrellus kuhlii,Pkuhl,
Pipistrellus nathusii,Pnat,10
Pipistrellus pipistrellus,Ppip,11
Pipistrellus pygmaeus,Ppyg,12
Plecotus auritus,Paur,13
Plecotus austriacus,Paus,14
Rhinolophus ferrumequinum,Rfer,15
Rhinolophus hipposideros,Rhip,16
Vespertilio murinus,Vmur,
